schemaname	tablename	policyname	permissive	roles	cmd	qual	with_check
public	messages	Users can send messages in their conversations	PERMISSIVE	{public}	INSERT		((auth.uid() = sender_id) AND (EXISTS ( SELECT 1
   FROM conversation_participants
  WHERE ((conversation_participants.conversation_id = messages.conversation_id) AND (conversation_participants.user_id = auth.uid())))))
public	messages	Users can update their own messages	PERMISSIVE	{public}	UPDATE	(auth.uid() = sender_id)	
public	messages	Users can view messages in their conversations	PERMISSIVE	{public}	SELECT	((EXISTS ( SELECT 1
   FROM conversation_participants
  WHERE ((conversation_participants.conversation_id = messages.conversation_id) AND (conversation_participants.user_id = auth.uid())))) OR (EXISTS ( SELECT 1
   FROM (conversations c
     JOIN activities a ON (((c.activity_id = a.id) OR (EXISTS ( SELECT 1
           FROM activity_slots s
          WHERE ((s.id = c.slot_id) AND (s.activity_id = a.id)))))))
  WHERE ((c.id = messages.conversation_id) AND (a.host_id = auth.uid())))))	
public	met_people_hidden	Users can hide users	PERMISSIVE	{public}	INSERT		(auth.uid() = user_id)
public	met_people_hidden	Users can unhide users	PERMISSIVE	{public}	DELETE	(auth.uid() = user_id)	
public	met_people_hidden	Users can view own hidden users	PERMISSIVE	{public}	SELECT	(auth.uid() = user_id)	
public	profiles	Profils publics en lecture	PERMISSIVE	{public}	SELECT	true	
public	profiles	Users can update own profile	PERMISSIVE	{public}	UPDATE	(auth.uid() = id)	
public	profiles	Utilisateurs peuvent insérer leur profil	PERMISSIVE	{public}	INSERT		true
public	profiles	Utilisateurs peuvent mettre à jour leur profil	PERMISSIVE	{public}	UPDATE	(auth.uid() = id)	
public	reports	reports_insert_policy	PERMISSIVE	{public}	INSERT		(reported_by = auth.uid())
public	reviews	reviews_delete_own	PERMISSIVE	{public}	DELETE	(reviewer_id = auth.uid())	
public	reviews	reviews_insert_own	PERMISSIVE	{public}	INSERT		(reviewer_id = auth.uid())
public	reviews	reviews_select_all	PERMISSIVE	{public}	SELECT	true	
public	reviews	reviews_update_own	PERMISSIVE	{public}	UPDATE	(reviewer_id = auth.uid())	
public	slot_group_members	Service can manage slot_group_members	PERMISSIVE	{public}	ALL	true	
public	slot_group_members	Users can view slot_group_members	PERMISSIVE	{public}	SELECT	true	
public	slot_groups	Service can manage slot_groups	PERMISSIVE	{public}	ALL	true	
public	slot_groups	Users can view slot_groups	PERMISSIVE	{public}	SELECT	true	
public	slot_participants	Anyone can view slot participants	PERMISSIVE	{public}	SELECT	true	
public	slot_participants	Business can view participants of their activities	PERMISSIVE	{public}	SELECT	(EXISTS ( SELECT 1
   FROM activities a
  WHERE ((a.id = slot_participants.activity_id) AND (a.host_id = auth.uid()))))	
public	slot_participants	Users can join slots	PERMISSIVE	{public}	INSERT		(auth.uid() = user_id)
public	slot_participants	Users can leave slots	PERMISSIVE	{public}	DELETE	(auth.uid() = user_id)	
storage	objects	 Allow public read access 1ht8hdi_0	PERMISSIVE	{anon}	SELECT	(bucket_id = 'activity-images'::text)	
storage	objects	Allow authenticated users to upload 1ht8hdi_0	PERMISSIVE	{authenticated}	INSERT		(bucket_id = 'activity-images'::text)
storage	objects	Allow users to delete own images 1ht8hdi_0	PERMISSIVE	{authenticated}	DELETE	(bucket_id = 'activity-images'::text)	
storage	objects	Allow users to delete own images 1ht8hdi_1	PERMISSIVE	{authenticated}	SELECT	(bucket_id = 'activity-images'::text)	
storage	objects	Anyone can view chat images	PERMISSIVE	{public}	SELECT	(bucket_id = 'chat-images'::text)	
storage	objects	Authenticated users can read voice messages	PERMISSIVE	{public}	SELECT	((bucket_id = 'voice-messages'::text) AND (auth.role() = 'authenticated'::text))	
storage	objects	Authenticated users can upload chat images	PERMISSIVE	{authenticated}	INSERT		(bucket_id = 'chat-images'::text)
storage	objects	Avatar images are publicly accessible	PERMISSIVE	{public}	SELECT	(bucket_id = 'avatars'::text)	
storage	objects	Les images d'activités sont publiques	PERMISSIVE	{public}	SELECT	(bucket_id = 'activity-images'::text)	
storage	objects	Les utilisateurs authentifiés peuvent uploader des images	PERMISSIVE	{authenticated}	INSERT		((bucket_id = 'activity-images'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))
storage	objects	Les utilisateurs peuvent supprimer leurs images	PERMISSIVE	{authenticated}	DELETE	((bucket_id = 'activity-images'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))	
storage	objects	Public read access for activity images	PERMISSIVE	{public}	SELECT	(bucket_id = 'activity-images'::text)	
storage	objects	Users can delete own activity images	PERMISSIVE	{authenticated}	DELETE	((bucket_id = 'activity-images'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))	
storage	objects	Users can delete their own avatar	PERMISSIVE	{public}	DELETE	((bucket_id = 'avatars'::text) AND ((storage.foldername(name))[1] = (auth.uid())::text))	
storage	objects	Users can delete their own chat images	PERMISSIVE	{authenticated}	DELETE	((bucket_id = 'chat-images'::text) AND ((auth.uid())::text = (storage.foldername(name))[2]))	
storage	objects	Users can update their own avatar	PERMISSIVE	{public}	UPDATE	((bucket_id = 'avatars'::text) AND ((storage.foldername(name))[1] = (auth.uid())::text))	
storage	objects	Users can upload activity images	PERMISSIVE	{authenticated}	INSERT		((bucket_id = 'activity-images'::text) AND ((auth.uid())::text = (storage.foldername(name))[1]))
storage	objects	Users can upload their own avatar	PERMISSIVE	{public}	INSERT		((bucket_id = 'avatars'::text) AND ((storage.foldername(name))[1] = (auth.uid())::text))
storage	objects	Users can upload voice messages	PERMISSIVE	{public}	INSERT		((bucket_id = 'voice-messages'::text) AND (auth.uid() IS NOT NULL))
(81 rows)
